Y,X,longitude,latitude,nearest_zip,w,id
8146345.122,234390.3746,36.50861,-16.75082,5988,64,N1
8146845.86,234771.2054,36.51224,-16.74634,5899,32,N2
8144615.303,235074.9519,36.51483,-16.76652,6363,104,N3
8145955.816,235371.2038,36.51776,-16.75445,6050,124,N4
8145454.335,236040.193,36.52397,-16.75905,6165,136,N5
8146860.9,236078.2508,36.52449,-16.74635,5905,36,N6
8146260.72,237116.6591,36.53416,-16.75189,6009,40,N7
8145296.698,237257.7195,36.53537,-16.76061,6249,156,N8
8145137.002,238643.462,36.54834,-16.76221,6281,176,N9
8144193.396,237806.8218,36.54039,-16.77064,6599,172,N10
8144379.557,239380.9252,36.55516,-16.76913,6534,220,N11
8141184.443,239014.1692,36.55136,-16.79795,7914,176,N12
8142955.328,238934.4726,36.55081,-16.78194,7016,60,N13
8143420.858,240175.8302,36.56251,-16.77788,6960,372,N14
8143883.893,241477.5004,36.57476,-16.77384,6783,448,N15
8141901.347,240261.4014,36.56313,-16.79161,7393,540,N16
8140156.472,239347.409,36.55436,-16.80727,8288,232,N17
8141748.145,241471.0139,36.57446,-16.79313,7529,1384,N18
8139250.343,241296.8837,36.57254,-16.81567,8564,348,N19
8141900.144,243137.8551,36.5901,-16.79194,7427,184,N20
8140767.861,242050.3795,36.57978,-16.80205,8105,792,N21
8137694.684,242077.6785,36.57968,-16.82981,9228,204,N22
8140065.238,243052.5636,36.58909,-16.8085,8375,792,N23
8136584.421,241454.2064,36.57371,-16.83976,9848,232,N24
8135454.598,241096.7958,36.57022,-16.84993,10497,200,N25
8138772.492,243735.8134,36.59535,-16.82025,8734,680,N26
8138058.67,244186.7061,36.5995,-16.82675,9051,444,N27
8135656.945,243737.9883,36.59502,-16.84839,10340,340,N28
8137127.085,245065.1227,36.60763,-16.83526,9634,468,N29
8137714.061,245900.2415,36.61553,-16.83005,9252,360,N30
8137658.286,246621.1861,36.62229,-16.83063,9311,272,N31
8137475.606,247583.6859,36.63129,-16.83239,9481,288,N32
8134080.251,242890.7797,36.58689,-16.86254,11119,736,N33
8130541.879,247754.7626,36.63212,-16.89503,12388,588,N34
8126511.662,247916.9089,36.63318,-16.93145,13067,420,N35
8128567.666,247644.5388,36.63086,-16.91285,12806,304,N36
8132528.474,247911.1947,36.63381,-16.8771,11662,344,N37
8134135.206,248892.7081,36.64319,-16.8627,11083,360,N38
8136602.239,248253.5542,36.63748,-16.84035,9884,340,N39
8135680.906,249007.986,36.64445,-16.84875,10372,700,N40
8136578.829,249674.6934,36.6508,-16.84071,9856,156,N41
8135651.996,249933.2449,36.65312,-16.84911,10433,336,N42
8136321.458,250824.8806,36.66156,-16.84316,10040,304,N43
8135654.306,250612.6165,36.6595,-16.84916,10438,404,N44
8137293.957,251418.9903,36.66724,-16.83444,9593,360,N45
8135227.218,251255.8233,36.66548,-16.85309,10675,144,N46
8134896.119,252140.9376,36.67375,-16.85617,10830,180,N47
8134062.417,252705.7447,36.67895,-16.86376,11133,196,N48
8132854.837,253005.8463,36.68163,-16.8747,11568,44,N49
8134313.73,253556.7483,36.68696,-16.86158,14268,8,N50
