id,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster,Weight,X,Y,PS,Unnamed_ 0,clusters,layer,path
"1","14",856.830993700000022,10.940922660000000,"1",,,4713.339815999999701,"2",6.067304134368896,852572.053879030980170,8499810.402637090533972,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"2","19",931.945007300000043,10.169076390000001,"1",,,4102.941652999999860,"2",6.146049499511719,852473.669061233988032,8495809.835892369970679,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"3","24",951.101989699999990,29.202256710000000,"1",,,5491.417927000000418,"2",6.712473392486572,852176.973490220960230,8483808.194249959662557,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"4","67",965.909973100000002,31.735264810000000,"1",,,942.145925400000010,"2",6.079482078552246,856474.359438676037826,8495711.317745309323072,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"5","14",1020.109985000000052,13.430843339999999,"1",,,975.018601600000011,"2",6.237720012664795,856375.707958173006773,8491710.503878619521856,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"6","18",883.843994100000032,25.088251249999999,"1",,,1610.298534999999902,"2",6.447366714477539,856276.799614981980994,8487709.699826449155807,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"7","89",729.094970699999976,25.583263270000000,"1",,,5345.947712000000138,"2",6.259360313415527,856177.634450559969991,8483708.905612349510193,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"8","34",1026.489990000000034,4.154287423000000,"1",,,966.670632599999976,"2",6.132555007934570,860376.645416249055415,8491611.719045270234346,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"9","31",795.083007800000019,26.319241200000000,"5",,,4336.975013000000217,"2",7.269096851348877,860178.552190701011568,8483609.607112970203161,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"10","46",601.656982399999947,12.930708750000001,"1",,,818.158232900000030,"2",6.257907390594482,860079.120352269033901,8479608.565989850088954,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"11","267",1044.859985000000052,3.501930059000000,"5",,,570.511183800000026,"2",1.000000000000000,864476.510929742013104,8495514.252036560326815,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"12","22",569.911010700000020,6.980735411000000,"5",,,1344.356974999999920,"2",5.782924175262451,864179.726734224008396,8483510.298710199072957,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"13","26",535.471008299999994,1.094970305000000,"1",,,511.040711699999974,"2",1.000000000000000,864080.284959753975272,8479509.000792829319835,"1",,,shape_highR,C:/Users/Asus/Documents/shape_highR.shp|layername=shape_highR
"14","0",922.130004900000017,,,,,,,6.000000000000000,850066.140899999998510,8482992.779999999329448,"0","1634","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"15","0",927.216980000000035,,,,,,,6.000000000000000,850056.694900000002235,8483979.091000000014901,"0","1635","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"16","0",1068.150024000000030,,,,,,,6.000000000000000,850047.240200000000186,8484965.399000000208616,"0","1636","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"17","0",757.711975100000018,,,,,,,6.000000000000000,851101.059600000036880,8481028.505000000819564,"0","1683","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"18","0",1036.609985000000052,,,,,,,6.000000000000000,851091.635000000009313,8482014.832999998703599,"0","1684","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"19","0",1005.390014999999948,,,,,,,6.000000000000000,851082.201699999975972,8483001.156999999657273,"0","1685","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"20","0",947.289001500000040,,,,,,,6.000000000000000,851072.759700000053272,8483987.476999999955297,"0","1686","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"21","0",1037.709961000000021,,,,,,,6.000000000000000,851063.309000000008382,8484973.792999999597669,"0","1687","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"22","0",966.252990700000055,,,,,,,6.000000000000000,851053.849700000020675,8485960.104000000283122,"0","1688","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"23","0",940.697021500000005,,,,,,,6.000000000000000,851044.381599999964237,8486946.412000000476837,"0","1689","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"24","0",941.851013200000011,,,,,,,6.000000000000000,850968.325199999962933,8494836.724999999627471,"0","1697","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"25","6",916.414001500000040,,,,,,,6.000000000000000,850949.224500000011176,8496809.263000000268221,"0","1699","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"26","0",984.888000499999976,,,,,,,6.000000000000000,852117.121399999945424,8481036.857999999076128,"0","1734","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"27","0",1028.000000000000000,,,,,,,6.000000000000000,852107.700799999991432,8482023.195000000298023,"0","1735","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"28","0",908.291015600000037,,,,,,,6.000000000000000,852098.271599999978207,8483009.527999999001622,"0","1736","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"29","0",980.281005899999968,,,,,,,6.000000000000000,852088.833600000012666,8483995.857000000774860,"0","1737","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"30","0",966.018005399999993,,,,,,,6.000000000000000,852079.386900000041351,8484982.180999999865890,"0","1738","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"31","0",979.202026400000022,,,,,,,6.000000000000000,852069.931499999947846,8485968.501000000163913,"0","1739","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"32","0",959.856994600000007,,,,,,,6.000000000000000,852060.467399999964982,8486954.816999999806285,"0","1740","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"33","0",929.926025399999958,,,,,,,6.000000000000000,852050.994599999976344,8487941.129000000655651,"0","1741","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"34","0",946.408019999999965,,,,,,,6.000000000000000,852003.500200000009499,8492872.627999998629093,"0","1746","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"35","0",1095.229980000000069,,,,,,,6.000000000000000,851993.975199999986216,8493858.916000001132488,"0","1747","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"36","0",923.703002900000001,,,,,,,6.000000000000000,851984.441600000020117,8494845.199999999254942,"0","1748","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"37","0",915.171997099999999,,,,,,,6.000000000000000,851974.899199999985285,8495831.480000000447035,"0","1749","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"38","13",855.034973100000116,,,,,,,6.000000000000000,851965.348200000007637,8496817.756000000983477,"0","1750","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"39","0",798.335998500000187,,,,,,,6.000000000000000,851955.788500000024214,8497804.027999999001622,"0","1751","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"40","0",811.836975100000018,,,,,,,6.000000000000000,851946.220100000035018,8498790.296000000089407,"0","1752","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"41","0",836.192993200000046,,,,,,,6.000000000000000,853142.600100000039674,8480058.855000000447035,"0","1785","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"42","0",894.106018100000028,,,,,,,6.000000000000000,853133.192299999995157,8481045.205000000074506,"0","1786","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"43","0",870.723022499999956,,,,,,,6.000000000000000,853123.775799999944866,8482031.551000000908971,"0","1787","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"44","1",829.090026899999884,,,,,,,6.000000000000000,853114.350499999942258,8483017.892999999225140,"0","1788","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"45","2",711.731994600000007,,,,,,,6.000000000000000,853104.916500000050291,8484004.230000000447035,"0","1789","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"46","14",831.153015100000175,,,,,,,6.000000000000000,853095.473800000036135,8484990.562999999150634,"0","1790","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"47","0",858.211975100000018,,,,,,,6.000000000000000,853086.022400000016205,8485976.892000000923872,"0","1791","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"48","3",886.028015100000175,,,,,,,6.000000000000000,853076.562299999990501,8486963.217000000178814,"0","1792","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"49","0",966.155029300000024,,,,,,,6.000000000000000,853067.093400000012480,8487949.537999998778105,"0","1793","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"50","0",927.359008799999970,,,,,,,4.697977299500000,853057.615800000028685,8488935.854000000283122,"0","1794","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"51","0",906.432006799999954,,,,,,,5.160657833000000,853038.634300000034273,8490908.474999999627471,"0","1796","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"52","0",934.468017600000053,,,,,,,6.000000000000000,853029.130600000033155,8491894.779999999329448,"0","1797","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"53","0",917.304016100000013,,,,,,,6.000000000000000,853019.618099999963306,8492881.080000000074506,"0","1798","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"54","0",1045.800048999999944,,,,,,,6.000000000000000,853010.096900000004098,8493867.377000000327826,"0","1799","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"55","0",960.374023400000056,,,,,,,6.000000000000000,853000.567000000039116,8494853.668999999761581,"0","1800","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"56","0",913.401000999999951,,,,,,,6.000000000000000,852991.028300000005402,8495839.957999998703599,"0","1801","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"57","0",892.971008299999880,,,,,,,6.000000000000000,852981.480999999796040,8496826.242000000551343,"0","1802","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"58","0",941.705993700000022,,,,,,,6.000000000000000,852971.924899999983609,8497812.523000000044703,"0","1803","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"59","0",879.533019999999965,,,,,,,6.000000000000000,852962.360199999995530,8498798.800000000745058,"0","1804","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"60","0",844.697021500000005,,,,,,,6.000000000000000,854158.675999999977648,8480067.187000000849366,"0","1837","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"61","0",825.033996600000023,,,,,,,6.000000000000000,854149.272299999953248,8481053.546000000089407,"0","1838","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"62","0",794.328002900000001,,,,,,,6.000000000000000,854139.859799999976531,8482039.901000000536442,"0","1839","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"63","4",730.682983400000012,,,,,,,6.000000000000000,854130.438599999994040,8483026.251000000163913,"0","1840","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"64","0",857.353027300000008,,,,,,,6.000000000000000,854121.008700000005774,8484012.597000000998378,"0","1841","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"65","3",778.911010700000134,,,,,,,6.000000000000000,854111.569900000002235,8484998.938999999314547,"0","1842","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"66","0",805.961975100000018,,,,,,,6.000000000000000,854102.122500000055879,8485985.277000000700355,"0","1843","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"67","2",928.736999500000024,,,,,,,6.000000000000000,854092.666199999977835,8486971.609999999403954,"0","1844","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"68","3",936.268981899999972,,,,,,,5.809093231000000,854083.201200000010431,8487957.939999999478459,"0","1845","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"69","0",933.963012700000036,,,,,,,1.000000000000000,854073.727500000037253,8488944.265000000596046,"0","1846","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"70","0",932.062988300000029,,,,,,,6.000000000000000,854054.753799999947660,8490916.903999999165535,"0","1848","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"71","0",956.169982900000036,,,,,,,6.000000000000000,854045.253799999947660,8491903.217000000178814,"0","1849","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"72","1",942.708984399999963,,,,,,,6.000000000000000,854035.745099999941885,8492889.526000000536442,"0","1850","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"73","0",961.578002900000001,,,,,,,6.000000000000000,854026.227700000046752,8493875.831000000238419,"0","1851","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"74","0",927.398010300000010,,,,,,,6.000000000000000,854016.701499999966472,8494862.132999999448657,"0","1852","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"75","0",860.057983399999898,,,,,,,6.000000000000000,854007.166599999996834,8495848.429999999701977,"0","1853","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"76","0",918.286010700000020,,,,,,,6.000000000000000,853997.622899999958463,8496834.722999999299645,"0","1854","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"77","0",969.708007800000019,,,,,,,6.000000000000000,853988.070500000030734,8497821.013000000268221,"0","1855","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"78","0",859.046020500000054,,,,,,,6.000000000000000,853978.509399999980815,8498807.299000000581145,"0","1856","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"79","0",840.228027300000008,,,,,,,6.000000000000000,853968.939499999978580,8499793.581000000238419,"0","1857","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"80","0",957.413024899999982,,,,,,,6.000000000000000,855174.760999999823980,8480075.513000000268221,"0","1889","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"81","0",785.697021500000005,,,,,,,6.000000000000000,855165.361400000052527,8481061.881000000983477,"0","1890","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"82","0",875.062011700000198,,,,,,,6.000000000000000,855155.952999999979511,8482048.243999999016523,"0","1891","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"83","9",738.502014200000190,,,,,,,6.000000000000000,855146.535799999954179,8483034.603000000119209,"0","1892","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"84","3",790.869018600000118,,,,,,,6.000000000000000,855137.109900000039488,8484020.957999998703599,"0","1893","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"85","6",691.812011700000198,,,,,,,6.000000000000000,855127.675200000056066,8485007.309000000357628,"0","1894","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"86","6",685.294006299999864,,,,,,,6.000000000000000,855118.231600000057369,8485993.654999999329448,"0","1895","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"87","0",785.960998500000187,,,,,,,6.000000000000000,855108.779300000052899,8486979.997999999672174,"0","1896","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"88","0",909.700988800000005,,,,,,,5.859726295000000,855099.318199999979697,8487966.336000001057982,"0","1897","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
