,Unnamed: 0,id1,id2,X1,Y1,X2,Y2
0,0,3.0,102.0,190088.4251,8445729.434,187043.3455,8445627.531999998
1,1,19.0,24.0,193236.1451,8442874.467,194319.6137,8440937.211000001
2,2,19.0,180.0,193236.1451,8442874.467,195197.6243,8444913.534
3,3,37.0,183.0,195163.40659999996,8445899.114,195129.1961,8446884.69
4,4,44.0,45.0,196212.5925,8444947.454,196178.3805,8445933.027
5,5,44.0,180.0,196212.5925,8444947.454,195197.6243,8444913.534
6,6,73.0,82.0,183963.92459999997,8446511.219,184944.72780000005,8447530.855999999
7,7,74.0,84.0,183792.6732,8451439.445999999,184807.76380000004,8451473.399
8,8,75.0,79.0,183724.2246,8453410.707,183587.4167,8457353.177
9,9,75.0,85.0,183724.2246,8453410.707,184773.54140000005,8452459.023
10,10,82.0,92.0,184944.72780000005,8447530.855999999,185925.5421,8448550.466
11,11,82.0,102.0,184944.72780000005,8447530.855999999,187043.3455,8445627.531999998
12,12,83.0,84.0,184841.9937,8450487.77,184807.76380000004,8451473.399
13,13,84.0,85.0,184807.76380000004,8451473.399,184773.54140000005,8452459.023
14,14,84.0,185.0,184807.76380000004,8451473.399,184773.54140000005,8452459.023
15,15,92.0,93.0,185925.5421,8448550.466,185891.3029,8449536.096
16,16,93.0,106.0,185891.3029,8449536.096,186906.3672,8449570.049
17,17,106.0,118.0,186906.3672,8449570.049,187921.4237,8449603.993
18,18,118.0,129.0,187921.4237,8449603.993,188936.47260000004,8449637.929999998
19,19,129.0,194.0,188936.47260000004,8449637.929999998,189917.3044,8450657.455
20,20,150.0,201.0,192962.3995,8450759.173999999,193030.7927,8448788.024000002
21,21,155.0,170.0,195094.9927,8447870.260999998,198071.5737,8449943.015999999
22,22,155.0,183.0,195094.9927,8447870.260999998,195129.1961,8446884.69
23,23,170.0,177.0,198071.5737,8449943.015999999,200101.5144,8450010.727999998
