X,Y,Population,Elevation,Slope,Landcover,Riverflow,Road_dist,Cluster,M,Unnamed_ 0,Weight,clusters,layer,path,id
183350.467200000013690,8456761.918999999761581,"6",420.893005399999993,4.609410962000000,"1",,2859.388570000000072,,"1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"1"
184327.161699999996927,8452846.129000000655651,"71",422.528015100000005,4.375095069000000,"1",,1341.783040999999912,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"2"
184685.383700000005774,8447442.881999999284744,"5",443.582000699999980,2.291581107000000,"1",,3971.897828000000118,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"3"
184631.648400000005495,8446139.086999999359250,"0",439.515014599999972,4.602808861000000,"1",,5257.993671000000177,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"4"
187063.538700000004610,8456450.506999999284744,"0",486.355987500000026,5.458464220000000,"1",,1708.019275999999991,,"1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"5"
187063.538700000004610,8452450.506999999284744,"0",487.815002400000026,1.028101335000000,"1",,455.437744800000019,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"6"
187139.615500000014435,8448425.491000000387430,"19",486.303985599999976,1.615323631000000,"5",,3210.742279000000053,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"7"
187634.027299999987008,8444694.435000000521541,"2",450.220001200000013,2.237177519000000,"1",,4295.531922000000122,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"8"
191063.538700000004610,8452450.506999999284744,"1",486.128997799999979,4.761731931000000,"1",,905.068269200000032,,"1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"9"
191063.538700000004610,8448450.506999999284744,"0",485.634002699999996,4.105155282000000,"1",,235.783910800000001,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"10"
191063.538700000004610,8444450.506999999284744,"4",471.894989000000010,1.675576005000000,"5",,1015.974442999999951,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"11"
195063.538700000004610,8452450.506999999284744,"0",513.776977500000044,4.925825429000000,"1",,457.769491899999991,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"12"
195063.538700000004610,8448450.506999999284744,"2",500.190002400000026,2.267152297000000,"1",,1497.037567000000081,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"13"
195063.538700000004610,8444450.506999999284744,"53",501.800994899999978,4.074446113000000,"1",,958.369580199999973,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"14"
195063.538700000004610,8440450.506999999284744,"3",574.155029300000024,13.038790060000000,"1",,1043.812574999999924,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"15"
199063.538700000004610,8448450.506999999284744,"9",560.252990700000055,4.933793533000000,"5",,450.829620299999988,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"16"
199063.538700000004610,8444450.506999999284744,"0",539.013000499999976,2.720379937000000,"1",,2239.508028000000195,"0","1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"17"
199020.458600000012666,8440492.629000000655651,"0",1073.790038999999979,7.021958701000000,"1",,961.810737600000039,,"1",,,,Cavalcante 4000 R,C:/Users/Asus/Desktop/Vinicius/Cavalcante 4000 R.shp|layername=Cavalcante 4000 R,"18"
190156.924300000013318,8443758.195000000298023,"0",467.510986300000013,,,,,,"0","12",9.066615856297341,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"19"
190122.671000000002095,8444743.816999999806285,"0",493.140014600000143,,,,,,"0","13",9.061356074687684,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"20"
190088.425099999993108,8445729.434000000357628,"4",501.243988000000002,,,,,,"0","14",7.048254938109339,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"21"
190054.186400000005960,8446715.047000000253320,"0",492.604003900000009,,,,,,"0","15",7.024522142757683,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"22"
191240.441099999996368,8441820.918999999761581,"0",499.183990500000050,,,,,,"0","26",7.070014980008796,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"23"
191206.179100000008475,8442806.542999999597669,"0",501.118011500000023,,,,,,"0","27",7.087918158895263,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"24"
191171.924300000013318,8443792.161000000312924,"0",485.076995800000134,,,,,,"0","28",9.090787589942018,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"25"
191137.676700000010896,8444777.776000000536442,"0",480.220001200000013,,,,,,"0","29",8.148058164580661,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"26"
191103.436400000005960,8445763.385999999940395,"0",488.178985599999976,,,,,,"0","30",6.140227264831800,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"27"
191069.203399999998510,8446748.991000000387430,"0",480.183013899999935,,,,,,"0","31",7.112081870568950,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"28"
192255.422099999996135,8441854.892999999225140,"0",537.739013699999987,,,,,,"0","42",7.137136780924394,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"29"
192221.165899999992689,8442840.508999999612570,"0",504.920990000000018,,,,,,"0","43",7.099732826644725,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"30"
192186.916700000001583,8443826.119999999180436,"0",474.989990200000022,,,,,,"0","44",8.928585383596698,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"31"
192152.674900000012713,8444811.726999999955297,"0",490.170013400000016,,,,,,"0","45",4.630997416586198,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"32"
192118.440200000011828,8445797.330000000074506,"0",493.441986100000065,,,,,,"0","46",1.000000000000000,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"33"
192084.212800000008428,8446782.927999999374151,"0",471.545013400000016,,,,,,"0","47",3.358736965588951,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"34"
193304.653400000010151,8440903.245999999344349,"0",604.416015600000037,,,,,,"0","56",7.393874908667514,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"35"
193270.395699999993667,8441888.858999999240041,"0",520.401000999999951,,,,,,"0","57",7.154473164628688,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"36"
193236.145099999994272,8442874.467000000178814,"1",492.105011000000104,,,,,,"0","58",9.078255860644706,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"37"
193201.901699999987613,8443860.071000000461936,"0",511.582000699999980,,,,,,"0","59",3.934920493451061,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"38"
193167.665500000002794,8444845.671000000089407,"0",506.218994099999975,,,,,,"0","60",4.091430834025947,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"39"
193133.436500000010710,8445831.266000000759959,"0",479.886993399999994,,,,,,"0","61",6.818473267096595,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"40"
193099.214700000011362,8446816.856000000610948,"0",483.677002000000016,,,,,,"0","62",3.318859027275224,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"41"
194319.613699999987148,8440937.211000001057982,"3",509.907989499999871,,,,,,"0","70",4.733605458484710,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"42"
194285.361700000008568,8441922.816999999806285,"0",496.600006100000144,,,,,,"0","71",4.220007949422075,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"43"
194251.116899999993620,8442908.417999999597669,"0",508.053985599999976,,,,,,"0","72",4.613003837773809,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"44"
194216.879199999995762,8443894.014000000432134,"0",512.377990699999827,,,,,,"0","73",2.614401516192857,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"45"
194182.648599999985890,8444879.606000000610948,"0",492.334014900000000,,,,,,"0","74",7.068396299430153,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"46"
194148.425300000002608,8445865.194000000134110,"0",475.217010500000129,,,,,,"0","75",7.021393144491768,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"47"
194114.209100000007311,8446850.777000000700355,"0",506.279998799999987,,,,,,"0","76",3.321869078511748,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"48"
195368.819900000002235,8439985.565999999642372,"0",644.916992199999981,,,,,,"0","82",7.261185461999379,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"49"
195334.566499999986263,8440971.168999999761581,"0",620.546020500000054,,,,,,"0","83",6.557562040746404,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"50"
195300.320199999987381,8441956.767000000923872,"0",538.668029799999999,,,,,,"0","84",3.311212717545194,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"51"
195266.081100000010338,8442942.360999999567866,"0",533.502014199999962,,,,,,"0","85",4.039376996941864,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"52"
195231.849099999992177,8443927.949999999254942,"0",510.835998500000017,,,,,,"0","86",5.531014298241273,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"53"
195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,,,,,,"0","87",5.995234621508643,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"54"
195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,,,,,,"0","88",3.372127454025009,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"55"
195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,,,,,,"0","89",1.000000000000000,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"56"
196383.759499999985565,8440019.523000000044703,"0",796.590026899999884,,,,,,"0","95",7.477141349113015,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"57"
196349.511900000012247,8441005.118999999016523,"0",624.991027799999983,,,,,,"0","96",7.235515310527290,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"58"
196315.271299999993062,8441990.708999998867512,"0",602.677001999999902,,,,,,"0","97",9.481492633383867,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"59"
196281.037899999995716,8442976.296000000089407,"0",539.999023400000056,,,,,,"0","98",9.067861330871576,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"60"
196246.811699999991106,8443961.877000000327826,"0",507.121002200000021,,,,,,"0","99",7.013863047653162,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"61"
