id,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster,Weight,xcoord,ycoord,X,Y,Unnamed_ 0,clusters,layer,path
"1","14",856.830993700000022,10.940922660000000,"1",,,4713.339815999999701,"2",6.067304134368896,852572.053879031,8499810.40263709,852572.053879031,8499810.40263709,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"2","19",931.945007300000043,10.169076390000001,"1",,,4102.941652999999860,"2",6.146049499511719,852473.669061234,8495809.83589237,852473.669061234,8495809.83589237,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"3","1",890.054016100000013,7.827373290000000,"1",,,1338.673784000000069,"2",6.023409366607666,852375.027362926,8491809.2788973,852375.027362926,8491809.2788973,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"4","10",975.478027300000008,14.227068299999999,"1",,,2014.436852000000044,"2",6.290545463562012,852276.128825442,8487808.73167535,852276.128825442,8487808.73167535,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"5","24",951.101989699999990,29.202256710000000,"1",,,5491.417927000000418,"2",6.712473392486572,852176.973490221,8483808.19424996,852176.973490221,8483808.19424996,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"6","0",753.565002400000026,25.338500560000000,"5",,,8180.704961999999796,"2",6.736928939819336,852077.56139881,8479807.66664457,852077.56139881,8479807.66664457,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"7","0",948.328979499999946,15.544678330000000,"1",,,2306.108264999999847,"2",6.196734428405762,856572.754015139,8499712.14140293,856572.754015139,8499712.14140293,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"8","67",965.909973100000002,31.735264810000000,"1",,,942.145925400000010,"2",6.079482078552246,856474.359438676,8495711.31774531,856474.359438676,8495711.31774531,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"9","14",1020.109985000000052,13.430843339999999,"1",,,975.018601600000011,"2",6.237720012664795,856375.707958173,8491710.50387862,856375.707958173,8491710.50387862,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
"10","18",883.843994100000032,25.088251249999999,"1",,,1610.298534999999902,"2",6.447366714477539,856276.799614982,8487709.69982645,856276.799614982,8487709.69982645,,,final_resolution,"Point?crs=EPSG:5858&field=ID:long(10,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(10,0)&field=Elevation:double(23,15)&field=Slope:double(23,15)&field=Landcover:long(10,0)&field=Riverflow:string(254,0)&field=NAME:string(254,0)&field=Road_dist:double(23,15)&field=Cluster:long(10,0)&field=Weight:double(23,15)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4ecc1d0b-0812-4610-8019-df854c7fce13}"
